Max Flow from 340 to 995: 126051
324 -> 995 | Flow: 122
325 -> 995 | Flow: 165
326 -> 995 | Flow: 149
326 -> 365 | Flow: 3
326 -> 361 | Flow: 19
327 -> 995 | Flow: 215
328 -> 333 | Flow: 52
328 -> 89 | Flow: 36
328 -> 995 | Flow: 125
329 -> 995 | Flow: 236
330 -> 995 | Flow: 48
331 -> 950 | Flow: 17
331 -> 200 | Flow: 111
331 -> 690 | Flow: 75
331 -> 995 | Flow: 172
332 -> 532 | Flow: 35
332 -> 568 | Flow: 18
333 -> 995 | Flow: 307
334 -> 995 | Flow: 279
335 -> 610 | Flow: 37
335 -> 536 | Flow: 9
335 -> 995 | Flow: 68
336 -> 995 | Flow: 83
336 -> 530 | Flow: 21
336 -> 809 | Flow: 18
336 -> 374 | Flow: 89
336 -> 329 | Flow: 53
336 -> 81 | Flow: 5
336 -> 682 | Flow: 5
336 -> 473 | Flow: 93
336 -> 378 | Flow: 57
336 -> 236 | Flow: 7
336 -> 107 | Flow: 9
336 -> 400 | Flow: 10
337 -> 995 | Flow: 146
337 -> 431 | Flow: 33
337 -> 546 | Flow: 35
337 -> 688 | Flow: 14
338 -> 995 | Flow: 143
339 -> 317 | Flow: 33
339 -> 897 | Flow: 7
339 -> 493 | Flow: 46
339 -> 154 | Flow: 58
339 -> 191 | Flow: 27
340 -> 3 | Flow: 93
340 -> 76 | Flow: 28
340 -> 36 | Flow: 55
340 -> 254 | Flow: 44
340 -> 574 | Flow: 93
340 -> 415 | Flow: 144
340 -> 637 | Flow: 58
340 -> 341 | Flow: 128
340 -> 343 | Flow: 131
340 -> 834 | Flow: 32
340 -> 58 | Flow: 315
340 -> 106 | Flow: 103
340 -> 819 | Flow: 98
340 -> 141 | Flow: 273
340 -> 670 | Flow: 29
340 -> 784 | Flow: 121
340 -> 86 | Flow: 174
340 -> 989 | Flow: 80
340 -> 862 | Flow: 52
340 -> 798 | Flow: 27
340 -> 769 | Flow: 39
340 -> 551 | Flow: 316
340 -> 453 | Flow: 438
340 -> 128 | Flow: 137
340 -> 735 | Flow: 400
340 -> 646 | Flow: 75
340 -> 790 | Flow: 37
340 -> 921 | Flow: 230
340 -> 523 | Flow: 54
340 -> 408 | Flow: 60
340 -> 841 | Flow: 121
340 -> 684 | Flow: 97
340 -> 429 | Flow: 155
340 -> 640 | Flow: 39
340 -> 947 | Flow: 56
340 -> 700 | Flow: 110
340 -> 855 | Flow: 77
340 -> 426 | Flow: 102
340 -> 192 | Flow: 162
340 -> 223 | Flow: 223
340 -> 206 | Flow: 62
340 -> 272 | Flow: 59
340 -> 545 | Flow: 95
340 -> 691 | Flow: 82
340 -> 600 | Flow: 60
340 -> 904 | Flow: 186
340 -> 411 | Flow: 139
340 -> 987 | Flow: 357
340 -> 648 | Flow: 103
340 -> 213 | Flow: 165
340 -> 587 | Flow: 115
340 -> 466 | Flow: 129
340 -> 227 | Flow: 323
340 -> 421 | Flow: 76
340 -> 489 | Flow: 92
340 -> 140 | Flow: 26
340 -> 774 | Flow: 208
340 -> 617 | Flow: 185
340 -> 689 | Flow: 205
340 -> 306 | Flow: 30
340 -> 455 | Flow: 188
340 -> 423 | Flow: 53
340 -> 952 | Flow: 136
340 -> 586 | Flow: 146
340 -> 653 | Flow: 72
340 -> 111 | Flow: 73
340 -> 792 | Flow: 116
340 -> 759 | Flow: 225
340 -> 124 | Flow: 208
340 -> 560 | Flow: 18
340 -> 257 | Flow: 259
340 -> 725 | Flow: 248
340 -> 322 | Flow: 27
340 -> 740 | Flow: 91
340 -> 863 | Flow: 53
340 -> 712 | Flow: 39
340 -> 718 | Flow: 90
340 -> 27 | Flow: 241
340 -> 354 | Flow: 306
340 -> 747 | Flow: 176
340 -> 123 | Flow: 122
340 -> 281 | Flow: 35
340 -> 977 | Flow: 66
340 -> 984 | Flow: 176
340 -> 765 | Flow: 121
340 -> 438 | Flow: 31
340 -> 230 | Flow: 80
340 -> 516 | Flow: 12
340 -> 853 | Flow: 265
340 -> 68 | Flow: 44
340 -> 444 | Flow: 120
340 -> 669 | Flow: 145
340 -> 618 | Flow: 131
340 -> 733 | Flow: 53
340 -> 95 | Flow: 215
340 -> 878 | Flow: 400
340 -> 593 | Flow: 26
340 -> 620 | Flow: 242
340 -> 526 | Flow: 148
340 -> 610 | Flow: 101
340 -> 197 | Flow: 89
340 -> 457 | Flow: 262
340 -> 541 | Flow: 69
340 -> 373 | Flow: 91
340 -> 494 | Flow: 46
340 -> 484 | Flow: 293
340 -> 614 | Flow: 49
340 -> 815 | Flow: 245
340 -> 970 | Flow: 115
340 -> 973 | Flow: 107
340 -> 969 | Flow: 103
340 -> 676 | Flow: 60
340 -> 208 | Flow: 202
340 -> 869 | Flow: 267
340 -> 758 | Flow: 336
340 -> 45 | Flow: 179
340 -> 583 | Flow: 99
340 -> 65 | Flow: 295
340 -> 756 | Flow: 108
340 -> 596 | Flow: 138
340 -> 430 | Flow: 261
340 -> 954 | Flow: 185
340 -> 540 | Flow: 36
340 -> 629 | Flow: 72
340 -> 859 | Flow: 265
340 -> 264 | Flow: 239
340 -> 843 | Flow: 19
340 -> 894 | Flow: 183
340 -> 632 | Flow: 336
340 -> 259 | Flow: 310
340 -> 891 | Flow: 164
340 -> 866 | Flow: 170
340 -> 856 | Flow: 112
340 -> 413 | Flow: 51
340 -> 572 | Flow: 58
340 -> 318 | Flow: 374
340 -> 135 | Flow: 32
